table,project,sponsors,link
52,Pheedback,"Best Domain (.me) Name - Namecheap, Best Use of IBM Cognitive & Bluemix - IBM, Most Creative Work Collaboration - Leidos, Best Domain Name from Domain.com, Most Aesthetic UI and UX Hack - Bitcamp, Best Rookie Hack - Bitcamp, Amazon Web Services - Best Use of AWS, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71331-pheedback
53,Ruby Slippers,Best Rookie Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71332-ruby-slippers
54,Plus Interest,,http://bitcamp2017.devpost.com/submissions/71333-plus-interest
55,SYNERGY,"Credible Challenge, Most Humorous Hack - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71334-synergy
56,Magic Mirror,"Most Aesthetic UI and UX Hack - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71335-magic-mirror
57,Ideation,"Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71338-ideation
58,Bitcamp2017,Best Rookie Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71339-bitcamp2017
59,My Mood,"Most Humorous Hack - Bitcamp, Best Rookie Hack - Bitcamp, Amazon Web Services - Best Use of AWS",http://bitcamp2017.devpost.com/submissions/71340-my-mood
60,QPay,"Best Use of Capital One's API, Most Creative UX/UI - Viacom, Most Aesthetic UI and UX Hack - Bitcamp, Best Moonshot Hack - Bitcamp, Amazon Web Services - Best Use of AWS, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71341-qpay
61,CouponCollector,,http://bitcamp2017.devpost.com/submissions/71342-couponcollector
62,CrowdIT,Best Rookie Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71343-crowdit
63,FallNotice,"Best use of Intel Edison or Arduino 101 for Health - Intel, Credible Challenge, Best Philantrophic Hack | Bloomberg",http://bitcamp2017.devpost.com/submissions/71344-fallnotice
64,Flairbrush,"Most Creative UX/UI - Viacom, Best Moonshot Hack - Bitcamp, Amazon Web Services - Best Use of AWS, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71345-flairbrush
65,"TrailHub - Find Your $PATH, Together","Most Creative UX/UI - Viacom, Most Aesthetic UI and UX Hack - Bitcamp, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71346-trailhub-find-your-path-together
66,HEYsquad,"Best Use of React JS - Appian, Best Domain (.me) Name - Namecheap, Most Creative UX/UI - Viacom, Most Aesthetic UI and UX Hack - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Amazon Web Services - Best Use of AWS",http://bitcamp2017.devpost.com/submissions/71348-heysquad
67,Battleship AI Platform ,,http://bitcamp2017.devpost.com/submissions/71349-battleship-ai-platform
68,Maryland Meme Exchance (MDME),"Best Domain Name from Domain.com, Most Humorous Hack - Bitcamp, Best X for Y - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71350-maryland-meme-exchance-mdme
69,Gradu8,"Most Aesthetic UI and UX Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71352-gradu8
70,L-Detector,"#HackHarassment, Best iOS App - MakeSchool, Most Creative Work Collaboration - Leidos, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71353-l-detector
71,FitFinder,"Best Philantrophic Hack | Bloomberg, Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71354-fitfinder
72,Cardr,"Best use of SparkPost , Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Best Rookie Hack - Bitcamp, Amazon Web Services - Best Use of AWS, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71355-cardr
73,ihackmail,,http://bitcamp2017.devpost.com/submissions/71358-ihackmail
74,Bitcamp - PaWS,,http://bitcamp2017.devpost.com/submissions/71359-bitcamp-paws
75,Specter,"#HackHarassment, Best Digital Forensics Related Hack - Cipher Tech, Best Cybersecurity Related Hack - OPIS, Best Philantrophic Hack | Bloomberg, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71360-specter
76,Host,"Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71361-host
77,healthapp,Best Rookie Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71362-healthapp
78,J and J,"Smart Document Analytics - FINRA, Most Creative UX/UI - Viacom, Most Aesthetic UI and UX Hack - Bitcamp, Best Moonshot Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71363-j-and-j
79,Bitcamp2017,Most Humorous Hack - Bitcamp,http://bitcamp2017.devpost.com/submissions/71365-bitcamp2017
80,buybar,"Best use of SparkPost , Best iOS App - MakeSchool, Most Creative UX/UI - Viacom, Most Aesthetic UI and UX Hack - Bitcamp, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Amazon Web Services - Best Use of AWS, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71366-buybar
81,Cooking Made Easy,"Best Philantrophic Hack | Bloomberg, Best X for Y - Bitcamp",http://bitcamp2017.devpost.com/submissions/71367-cooking-made-easy
82,textbooktest,"Best Domain (.me) Name - Namecheap, Credible Challenge, Most Creative UX/UI - Viacom, Best Rookie Hack - Bitcamp, Amazon Web Services - Best Use of AWS",http://bitcamp2017.devpost.com/submissions/71369-textbooktest
83,ATC VR,Best Hack for Air Traffic Control - C2 Technologies,http://bitcamp2017.devpost.com/submissions/71370-atc-vr
84,Savior : 911 Emergency App,"Best Philantrophic Hack | Bloomberg, Most Creative UX/UI - Viacom, Most Aesthetic UI and UX Hack - Bitcamp, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71371-savior-911-emergency-app
85,LifeOk2.0,"Best Use of IBM Cognitive & Bluemix - IBM, Most Creative Work Collaboration - Leidos, Best Philantrophic Hack | Bloomberg, Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71373-lifeok2-0
86,PointSaaS,"Best Rookie Hack - Bitcamp, Amazon Web Services - Best Use of AWS, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71374-pointsaas
